H,H.MGV,mangrove swamp,a tropical tidal mud flat characterized by mangrove vegetation
H,H.MOOR,moor(s),an area of open ground overlaid with wet peaty soils
H,H.MRSH,marsh(es),a wetland dominated by grass-like vegetation
H,H.MRSHN,salt marsh,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants"
H,H.NRWS,narrows,"a navigable narrow part of a bay, strait, river, etc."
H,H.OCN,ocean,one of the major divisions of the vast expanse of salt water covering part of the earth
H,H.OVF,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current
H,H.PND,pond,a small standing waterbody
H,H.PNDI,intermittent pond,
H,H.PNDN,salt pond,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast"
H,H.PNDNI,intermittent salt pond(s),
H,H.PNDS,ponds,small standing waterbodies
H,H.PNDSF,fishponds,ponds or enclosures in which fish are kept or raised
H,H.PNDSI,intermittent ponds,
H,H.PNDSN,salt ponds,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast"
H,H.POOL,pool(s),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water"
H,H.POOLI,intermittent pool,
H,H.RCH,reach,a straight section of a navigable stream or channel between two bends
H,H.RDGG,icecap ridge,a linear elevation on an icecap
H,H.RDST,roadstead,an open anchorage affording less protection than a harbor
H,H.RF,reef(s),a surface-navigation hazard composed of consolidated material
H,H.RFC,coral reef(s),a surface-navigation hazard composed of coral
H,H.RFX,section of reef,
H,H.RPDS,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed"
H,H.RSV,reservoir(s),an artificial pond or lake
H,H.RSVI,intermittent reservoir,
H,H.RSVT,water tank,"a contained pool or tank of water at, below, or above ground level"
H,H.RVN,ravine(s),"a small, narrow, deep, steep-sided stream channel, smaller than a gorge"
H,H.SBKH,sabkha(s),a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides
H,H.SD,sound,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water
H,H.SEA,sea,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean
H,H.SHOL,shoal(s),a surface-navigation hazard composed of unconsolidated material
H,H.SILL,sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord"
H,H.SPNG,spring(s),a place where ground water flows naturally out of the ground
H,H.SPNS,sulphur spring(s),a place where sulphur ground water flows naturally out of the ground
H,H.SPNT,hot spring(s),a place where hot ground water flows naturally out of the ground
H,H.STM,stream,a body of running water moving to a lower level in a channel on land
H,H.STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream
H,H.STMB,stream bend,a conspicuously curved or bent segment of a stream
H,H.STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened"
H,H.STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal"
H,H.STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin"
H,H.STMI,intermittent stream,
H,H.STMIX,section of intermittent stream,
H,H.STMM,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea"
H,H.STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns"
H,H.STMS,streams,bodies of running water moving to a lower level in a channel on land
H,H.STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area"
H,H.STMX,section of stream,
H,H.STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water"
H,H.SWMP,swamp,a wetland dominated by tree vegetation
H,H.SYSI,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc."
H,H.TNLC,canal tunnel,a tunnel through which a canal passes
H,H.WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East"
H,H.WADB,wadi bend,a conspicuously curved or bent segment of a wadi
H,H.WADJ,wadi junction,a place where two or more wadies join
H,H.WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody"
H,H.WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East"
H,H.WADX,section of wadi,
H,H.WHRL,whirlpool,"a turbulent, rotating movement of water in a stream"
H,H.WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
H,H.WLLQ,abandoned well,
H,H.WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
H,H.WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation"
H,H.WTLDI,intermittent wetland,
H,H.WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water"
H,H.WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas"
L,L.AGRC,agricultural colony,a tract of land set aside for agricultural settlement
L,L.AMUS,amusement park,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location"
L,L.AREA,area,a tract of land without homogeneous character or boundaries
L,L.BSND,drainage basin,an area drained by a stream
L,L.BSNP,petroleum basin,an area underlain by an oil-rich structural basin
L,L.BTL,battlefield,a site of a land battle of historical importance
L,L.CLG,clearing,an area in a forest with trees removed
L,L.CMN,common,a park or pasture for community use
L,L.CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry"
L,L.COLF,coalfield,a region in which coal deposits of possible economic value occur
L,L.CONT,continent,"continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica"
L,L.CST,coast,a zone of variable width straddling the shoreline
L,L.CTRB,business center,a place where a number of businesses are located
L,L.DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan
L,L.FLD,field(s),an open as opposed to wooded area
L,L.FLDI,irrigated field(s),a tract of level or terraced land which is irrigated
L,L.GASF,gasfield,an area containing a subterranean store of natural gas of economic value
L,L.GRAZ,grazing area,an area of grasses and shrubs used for grazing
L,L.GVL,gravel area,an area covered with gravel
